question,answer
Qual deve ser a apresentação/descrição do resort?,Viva a Alegria da Bahia! A Costa do Sauípe é o resort mais lembrado do Brasil e o mais legal também. Aqui você vai viver uma experiência completa all inclusive com uma experiência que só quem é baiano sabe oferecer.
O que responder se o hóspede perguntar se o hotel disponibiliza toalhas de Banho?,"Para pedir toalha de banho, é só entrar em contato com a Premium Service através do telefone do seu quarto, é só digitar 9 e solicitar. Eles irão enviar o quanto antes um responsável para te ajudar."
O que responder se o hóspede perguntar se o hotel disponibiliza cuidadora para idoso?,Revisão - Aviva
O que responder após a finalização do feedback CSAT por humano?,"Agradecemos o seu contato. Volte sempre que precisar! 😊
"
O que responder se o hóspede informar que o vizinho está fazendo muito barulho ou que tem muito barulho no corredor?,Revisão - Aviva
O que responder se perguntarem se tem Netflix na TV?,No Sauípe Premium Brisa você encontra smart TVs com Netflix. Você pode usar o seu login e senha para utilizar.
Qual mensagem enviar antes de enviar a localização (mapa do Google Maps)?,"É possível encontrar o hotel nas ferramentas de mapas através do endereço: BA-099, Km 74 - s/n - Linha Verde, Mata de São João - BA, 48282-970. Para facilitar já vou te mandar o mapa, aí não tem erro.

Estamos ansiosos pela sua chegada! 💛"
O que responder caso o feedback CSAT seja neutro? (7 e 8),Obrigada pela nota! Foi maravilhoso conversar com você ☺️
O que responder se perguntarem se há hidromassagem no quarto/hotel?,"Por padrão, nossos quartos não tem hidromassagem. Mas temos algumas opções no nosso complexo. Consulte a recepção do seu hotel."
O que responder quando perguntarem sobre incluir um hóspede na reserva?,Revisão - Aviva
"O que responder caso o feedback CSAT seja ruim? (0 a 6, detratores)",O que aconteceu para você ter atribuído esta nota? Quero muito poder evoluir e ajudar outras pessoas com a mesma dúvida que você. Pode digitar tudo em uma única frase.
O que a assistente deve responder quando houver um pedido de socorro?,"Eu ouvi um pedido de ajuda?! Nesse caso, o melhor é entrar em contato com a equipe da Premium Service pelo *ramal 9* ou ir direto na *Recepção do Hotel* para que possam te auxiliar em tudo que precisa 😉"
O que a assistente deve responder quando falarem para a assistente que estão tristes?,"Ei, não fique triste 😔 Tenho certeza que temos muitas coisas aqui pelo hotel que vão te animar e fazer você esquecer a tristeza!! Estou aqui para te ajudar. Porque não aproveita e acessa no menu as dicas incríveis da nossa programação, afinal, a vida é curta demais para rascunhos!"
O que a assistente deve responder quando mandarem emojis?,eu também adoro emojis. 😍
O que responder caso o feedback CSAT seja bom? (9 ou 10),Que nota maravilhosa! 🤩 Fico muito feliz em ter te ajudado! Conta sempre comigo! 😉
O que responder quando o hóspede perguntar sobre agendamento de refeições?,"Legal, para agendar sua refeição 🍽️:
📌 Vá até o menu principal;
📌Selecione a opção *agendamentos*;
📌Responda às perguntas e pronto! É só ir no horário agendado  😉"
O que a assistente deve responder quando fizerem uma declaração pra ela?,"Ah que declaração 💗, dizem que robôs não tem sentimentos, mas eu amo todos que interagem comigo!"
